name,id,n,rank,description
Caucus,1973,573729,bronze,"Visit an <a href=""https://stackoverflow.com/election"">election</a> during any phase of an active election and have enough reputation to cast a vote"
Constituent,1974,186499,silver,"Vote for a candidate in the final phase of an <a href=""https://stackoverflow.com/election"">election</a>"
Custodian,2278,653666,bronze,"Complete at least one <a href=""https://stackoverflow.com/review"">review</a> task. This badge is awarded once per review type"
Steward,2279,11815,gold,"Complete at least 1,000 <a href=""https://stackoverflow.com/review"">review</a> tasks. This badge is awarded once per review type"
Informed,2600,1710652,bronze,"Read the entire <a href=""https://stackoverflow.com/tour"">tour</a> page"
Constable,3108,0,gold,Served as a pro-tem moderator for at least 1 year or through site graduation
Sheriff,3109,36,gold,Served as an elected moderator for at least 1 year
Curious,4127,281933,bronze,"Ask a well-received question on 5 separate days, and maintain a positive question record"
Inquisitive,4128,28182,silver,"Ask a well-received question on 30 separate days, and maintain a positive question record"
Socratic,4129,3345,gold,"Ask a well-received question on 100 separate days, and maintain a positive question record"
Explainer,4368,55682,bronze,"Edit and answer 1 question (both actions within 12 hours, answer score &gt; 0)"
Refiner,4369,1767,silver,"Edit and answer 50 questions (both actions within 12 hours, answer score &gt; 0)"
Illuminator,4370,92,gold,"Edit and answer 500 questions (both actions within 12 hours, answer score &gt; 0)"
Documentation Beta,6157,294,silver,Contributed 3+ substantive pieces of documentation during the private beta
Documentation Pioneer,6158,2359,silver,Contributed 3+ substantive pieces of documentation in the first month of documentation
Not a Robot,6381,642,silver,"
Met a Stack Overflow employee at an event where Stack Overflow was an organizer"
Census,6644,71179,silver,Completed the annual Stack Overflow survey; your responses are anonymous
Documentation User,7358,43297,silver,"Earned at least one badge for contributing to <a href=""https://stackoverflow.com/documentation"">Stack Overflow Documentation</a>"
